TitleForSorting,TitleClean,Status,Remarks,CarouselFlag,CarouselOrder,CarouselSnippet,ExampleFlag,ExampleSnippet,FilmReleased,Year,Released,Actors,Awards,WonAward,Country,Director,Genre,Plot,Poster,Rated,CurrentWar,Runtime,DatabaseTitle,ratingRT,ratingMetacritic,ratingImdb,imdbID,imdbVotes
BEARDLESS WARRIORS,BEARDLESS WARRIORS,OTHER,NEED ADDITIONAL INFORMATION,,,,,,TRUE,1967,2/7/1968,"James Drury, Steve Carlson, Jonathan Daly, Robert Pine",,FALSE,USA,John Peyser,"Drama, War","In World War II, a tough sergeant is put in charge of a squad of young recruits and assigned to lead them on a mission against the Germans.",https://m.media-amazon.com/images/M/MV5BZjUzMWY2MjItMzI5Yi00MTk1LWFjYjQtNzZkMWFlYWNjZDM2XkEyXkFqcGdeQXVyNjc3MDI3NDk@._V1_SX300.jpg,TV-PG,Vietnam War,93,The Young Warriors,,,5.8,tt0062516,107
BLOOD ALLEY,BLOOD ALLEY,OTHER,NEED ADDITIONAL INFORMATION,,,,,,TRUE,1955,10/1/1955,"John Wayne, Lauren Bacall, Paul Fix, Joy Kim",,FALSE,USA,"William A. Wellman, John Wayne","Action, Adventure","A merchant marine captain, rescued from the Chinese Communists by local villagers, is ""shanghaied"" into transporting the whole village to Hong Kong on an ancient paddle steamer.",https://m.media-amazon.com/images/M/MV5BZTgwMjQ5NDQtMDVjZC00ODU2LWFkNGYtOTIwMjJlNzI4ZTYwXkEyXkFqcGdeQXVyMDUyOTUyNQ@@._V1_SX300.jpg,Approved,,110,Blood Alley,45%,,6.3,tt0047889,"2,790"
DEVIL AT 4 O'CLOCK,DEVIL AT 4 O'CLOCK,OTHER,NEED ADDITIONAL INFORMATION,,,,,,TRUE,1961,10/18/1961,"Spencer Tracy, Frank Sinatra, Kerwin Mathews, Jean-Pierre Aumont",1 nomination.,TRUE,USA,Mervyn LeRoy,"Adventure, Drama, Thriller","Three convicts enroute to Tahiti are put to work at a children's leper hospital when their plane makes an unexpected stop on another island. There, Father Perreau is to get off and replace Father Doonan, who's been relieved of his duties by the cardinal. Once on the island, things get out of control when the volcano decides to erupt, and the Governor orders an evacuation. The convicts, priests and leper children are all on top of the island and have no sure way to get down and off to safety. All must work together if any are to survive.",https://m.media-amazon.com/images/M/MV5BY2M1MDg4MjMtZjEyNi00MzY5LWJjNTctMTE1MDk1Nzg2NzhjXkEyXkFqcGdeQXVyMjUxODE0MDY@._V1_SX300.jpg,Approved,Vietnam War,126,The Devil at 4 O'Clock,80%,,6.4,tt0054805,"1,821"
HOT SHOTS,HOT SHOTS,OTHER,PARODY OF TOP GUN,,,,,,TRUE,1991,7/31/1991,"Charlie Sheen, Cary Elwes, Valeria Golino, Lloyd Bridges",1 win.,TRUE,USA,Jim Abrahams,"Action, Comedy","Topper Harley, a top gun fighter pilot, is recalled to serve on the SS Essess. Topper's mission is to destroy Saddam Hussein's nuclear plants. Unfortunately, Topper is psychologically imbalanced and is sure to crack under pressure.",https://m.media-amazon.com/images/M/MV5BNzgxNmI1ODItZWZlYy00ZjE0LWIwYjgtMTk2MzU0MjhkOWIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,PG-13,,84,Hot Shots!,83%,61,6.8,tt0102059,"98,041"
VON RYAN'S EXPRESS,VON RYAN'S EXPRESS,OTHER,DID NOT REQUEST ASSISTANCE,,,,,,TRUE,1965,6/23/1965,"Frank Sinatra, Trevor Howard, Raffaella CarrÃ , Brad Dexter",Nominated for 1 Oscar. Another 1 win & 2 nominations.,TRUE,USA,Mark Robson,"Action, Adventure, War","Ryan, an American POW, leads his fellow prisoners on a dangerous escape from the Germans in Italy. Having seemingly made errors of judgment, Ryan has to win the support of the mainly British soldiers he is commanding.",https://m.media-amazon.com/images/M/MV5BYjQ1NzY5MWEtMTE5OC00YjQ0LTk0N2MtZDA0OTZjOTg3NDM2XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,Approved,Vietnam War,117,Von Ryan's Express,89%,,7.1,tt0059885,"12,456"
BATTLE CIRCUS,BATTLE CIRCUS,APPROVED,"APPROVED ASSISTANCE, DATE APPROXIMATE",,,,,,TRUE,1953,3/6/1953,"Humphrey Bogart, June Allyson, Keenan Wynn, Robert Keith",,FALSE,USA,Richard Brooks,"Drama, Romance, War","Nurse Lt. Ruth McGara is assigned to a Mobile Army Surgical Hospital (MASH) unit near the front lines of the Korean War. There she meets and is roughly romanced by Major Jed Webbe, one of the unit's surgeons. Webbe is pushy and seems to care only for momentary pleasures, but McGara falls for him just the same. Their romance blossoms in the midst of overwhelming numbers of casualties, threats from the enemy and from the weather, and emergency evacuations that test the mettle of even a unit whose very name suggests quick mobility.",https://m.media-amazon.com/images/M/MV5BMWNkYzJmZjItNGMyYS00MGRiLThlMGUtMDYyZDczMDhkOTEyXkEyXkFqcGdeQXVyNDY2MTk1ODk@._V1_SX300.jpg,Approved,Korean War,90,Battle Circus,26%,,6,tt0045544,"1,393"
FIREFOX,FIREFOX,APPROVED,FIRST CONTACT WITH THE AIR FORCE,,,,,,TRUE,1982,6/18/1982,"Clint Eastwood, Freddie Jones, David Huffman, Warren Clarke",,FALSE,USA,Clint Eastwood,"Action, Adventure, Thriller","The Soviets have developed a revolutionary new jet fighter, called ""Firefox"". Naturally, the British are worried that the jet will be used as a first-strike weapon, as rumours say that the jet is indetectable on radar. They send ex-Vietnam War pilot Mitchell Gant on a covert mission into the Soviet Union to steal Firefox.",https://m.media-amazon.com/images/M/MV5BM2UxY2EwY2MtYmQ0ZC00NzE4LWFlNTctMWM3ZjQ5ZDE5ZGUxXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,PG,,136,Firefox,38%,44,6,tt0083943,"24,813"
BATTLE ZONE,BATTLE ZONE,APPROVED,KOREAN WAR FILM THAT RECEIVED COOPERATION,,,,,,TRUE,1952,10/26/1952,"John Hodiak, Linda Christian, Stephen McNally, Martin Milner",,FALSE,USA,Lesley Selander,War,"Danny, a Marine Corps veteran of World War II, re-enlists when the Korean War breaks out. He joins a Marine motion picture unit specializing in combat footage. There he re-encounters Mitch, a former pal, and discovers that Mitch is now engaged to the girl Danny left behind in Rome during the previous war. A rivalry develops between Danny and Mitch that spills over onto the battlefield. A secret mission behind North Korean lines brings their rivalry to the boiling point.",https://m.media-amazon.com/images/M/MV5BMTQ0NTQzNDE3NV5BMl5BanBnXkFtZTgwNDQzOTgwMzE@._V1_SX300.jpg,APPROVED,Korean War,81,Battle Zone,,,5.3,tt0044398,113
COCK-EYED WORLD,COCK-EYED WORLD,APPROVED,"MARINES IN PEACETIME, CHASING WOMEN, ETC.",,,,,,TRUE,1929,10/20/1929,"Victor McLaglen, Edmund Lowe, Lili Damita, Leila Karnelly",,FALSE,USA,Raoul Walsh,"Comedy, Musical",Two Marines are sent to South Sea island where they fight over a local island girl.,https://m.media-amazon.com/images/M/MV5BNTkzNmU2ZDEtN2M5MC00ODgzLTg3ODAtN2FiZmZiMjJiMjk2XkEyXkFqcGdeQXVyMTcyODY2NDQ@._V1_SX300.jpg,,,118,The Cock-Eyed World,,,6.1,tt0019776,38
"GREAT IMPOSTOR, THE",THE GREAT IMPOSTOR,LIMITED,"LIMITED ASSISTANCE, DATE APPROXIMATE, NO FILE",,,,,,TRUE,1960,2/1/1961,"Tony Curtis, Karl Malden, Edmond O'Brien, Arthur O'Connell",2 nominations.,TRUE,USA,Robert Mulligan,"Comedy, Drama","Based on a true story, a bright young man who hasn't the patience for the normal way of advancement finds that people rarely question you if your papers are in order. He becomes a marine, a monk, a surgeon onboard a Canadian Warship, and a prison warden.",https://m.media-amazon.com/images/M/MV5BYzE4NjU5NzktNTY4ZS00Mjk5LWIzOGYtZTM0ZjA1MGM1Mjk4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg,Approved,Vietnam War,113,The Great Impostor,83%,66,7,tt0053879,"1,163"
