Title,Subtitle,Status,Year,Remarks,Interesting?
1968,,OTHER,,"THE FILM STARTED OUT VERY NEGATIVE FOR THE ARMY. THE ARMY WANTED THEM TO MAKE CHANGES TO POSSIBLY APPROVE THE FILM. EVIDENTLY, IT DIED, BECAUSE THE DEPARTMENT NEVER HEARD ANY STATUS REPORT.",
1ST FORCE,,OTHER,,"INITIALLY DOD AND USMC WERE INCLINED TO SUPPORT. HOWEVER, PRODUCER NEVER RESPONDED TO REPEATED REQUESTS FOR UPDATES REGARDING THE PRODUCTION. FILM NOT PRODUCED. NO FILE EXISTS.",
50/50,,DENIED,,NEVER WAS OFFICIALLY SUBMITTED TO DOD. IT WAS STOPPED BEFORE IT GOT TO THE DEPARTMENT NO REASON FOR SUPPORT WAS EVER FORTHCOMING. NO FILE EXISTS,
55 DAYS AT PEKING,,OTHER,1963,PERIOD PIECE ABOUT MARINES IN CHINA DURING THE BOXER REBELLION,
84 CHARLIE MOPIC,,OTHER,1989,VIETNAM MOVIE ABOUT MOTION PICTURE CORRESPONDENTS. ASSISTANCE NOT REQUESTED.,
A FEW GOOD MEN,,LIMITED,1992,"INACCURATE, NEGATIVE PORTRAYALS OF MARINES. PRODUCER/WRITER DID MAKE SOME SCRIPT CHANGES, SO WE LET THEM USE NAS PT MUGU FOR A MINOR SCENE. PROBLEM CENTERED ON DECORATED, SENIOR MARINE COMMANDING OFFICER WHOSE INAPPROPRIATE LEADERSHIP STYLE RESULTED IN THE DEATH OF AN UNPOPULAR MARINE ENLISTED MAN. THE C.O. THEN TRIES TO COVER UP THE INCIDENT. BASED ON A TRUE STORY, BUT FULL OF INACCURACIES IN THE DRAMATIZED VERSION.",
A MIDNIGHT CLEAR,,DENIED,1992,"DECLINED ASSISTANCE (REQUEST FOR WWII FACILITIES IN UTAH) DUE TO COMPLETELY NEGATIVE, NIHILISTIC DEPICTION OF MILITARY PERSONNEL AND OPERATIONS. ALSO PROVIDING FACILITIES WOULD HAVE COMPETED WITH PRIVATE INDUSTRY",
A MORAL ISSUE,,DENIED,,"THERE ARE NO RECORDS OF DOD EVER APPROVING THE FILM. THE FILM WAS NEVER PRODUCED, SOEVIDENTALLY IF ANY RESPONSE WAS GIVEN, IT WAS NO",
ABOVE AND BEYOND,,APPROVED,1953,"STORY OF PAUL TIBBETS AND THE ATOMIC BOMB MISSION OVER HIROSHIMA. FULL COOPERATION IN THE FORM OF B-295, MEN, AND LOCATIONS",
ABOVE THE CLOUDS,,APPROVED,1934,"NAVY PROVIDED USE OF BATTLESHIPS, SUBMARINES, AND A DIRIGIBLE AS BACKGROUND FOR PEACETIME STORY",
ACE OF ACES,,APPROVED,1933,ARMY AIR CORPS PROVIDED PLANES TO STAGE AERIAL COMBAT SEQUENCES FOR WORLD WAR I FILM SET IN FRANCE,
ACTION IN THE NORTH ATLANTIC,,APPROVED,1943,NAVY AND MERCHANT MARINES PROVIDED USE OF SHIP AND MEN FOR STORY OF NAVY GUNNERS ABOARD A MERCHANT SHIP IN THE NORTH ATLANTIC DURING WORLD WAR II.,
ADVENTURES OF MARY-KATE & ASHLEY,THE CASE OF THE UNITED STATES NAVY ADVENTURE,APPROVED,1994,"PRODUCTION COMPANY REQUESTED USE OF NAVY INSTALLATIONS AND SHIP IN PEARL HARBOR, HI. AFTER SUCCESSFUL NEGOTIATIONS TO IMPROVE ACCURACY AND POSITIVE ASPECT OF SCRIPT, OK'D ASSISTANCE. NO FILE EXISTS.",
